y,1,Wit,Monastery of Christ in the Desert,Monks Wit,5.1%,$37.95,3,$113.85,Bella Vista,,http://beeradvocate.com/beer/profile/24136/70638
y,2,Lager,Stoudts,Gold Lager,5%,$31.99,3,$95.97,Big Top,,http://beeradvocate.com/beer/profile/394/2106
y,3,Winter Warmer,Sly Fox,Christmas Ale,5.7%,$32.99,3,$98.97,Big Top,,http://beeradvocate.com/beer/profile/1853/7285
y,4,Dopplebock,Troeggs,Troegenator,8.2%,$35.99,3,$107.97,Big Top,,http://beeradvocate.com/beer/profile/694/4109
y,5,ESB,Goose Island,Honkers Ale,4.2%,$33.99,3,$101.97,Big Top,,http://beeradvocate.com/beer/profile/1146/1157
y,6,Pale Ale,Victory,Headwaters Pale,5.1%,$31.59,3,$94.77,Big Top,,http://beeradvocate.com/beer/profile/345/66281
y,7,Red Ale,Bear Republic,Red Rocket,6.8%,$39.99,3,$119.97,Big Top,,http://beeradvocate.com/beer/profile/610/1655
y,8,India Pale Ale,Bells,Two Hearted,7%,$44.99,3,$134.97,Big Top,,http://beeradvocate.com/beer/profile/287/1093
y,9,India Pale Ale,Firestone Walker,IPA,7.5%,$46.99,3,$140.97,Big Top,,http://beeradvocate.com/beer/profile/2210/38180
y,10,Belgian Pale Ale,Brasserie d'Achouffe,Houblon Chouffe,9%,$113.99,3,$341.97,Big Top,,http://beeradvocate.com/beer/profile/321/27804
y,11,Strong Ale,Stone,Oaked Arrogant Bastard,7.2%,$65.99,3,$197.97,Big Top,,http://beeradvocate.com/beer/profile/147/8951
y,12,India Brown Ale,Dogfish Head,India Brown Ale,7.2%,$37.99,3,$113.97,Big Top,,http://beeradvocate.com/beer/profile/64/1161
y,13,Black Ale,Dark Horse,Reserve Special,7.5%,$34.95,3,$104.85,Bella Vista,,http://beeradvocate.com/beer/profile/1471/3877
y,14,Porter,Anchor,Porter,5.6%,$37.99,3,$113.97,Big Top,Great Lakes,http://beeradvocate.com/beer/profile/28/61
y,15,Porter,Yards,Tavern Porter,7%,$43.00,3,$129.00,Big Top,,http://beeradvocate.com/beer/profile/450/13086
y,16,Stout,Dogfish Head,Chicory Stout,5.2%,$47.99,3,$143.97,Big Top,,http://beeradvocate.com/beer/profile/64/1153
y,17,Imperial Oatmeal Stout,Founders,Breakfast Stout,8.3%,$69.99,3,$209.97,Big Top,,http://beeradvocate.com/beer/profile/1199/11757
y,18,Imperial Stout,Goose Island,Bourbon County Stout,15%,$160.00,3,$480.00,Bella Vista,,http://beeradvocate.com/beer/profile/1146/10672
y,19,Scotch Ale,Dark Horse,Scotty Karate,9.75%,$36.95,3,$110.85,Bella Vista,,http://beeradvocate.com/beer/profile/1471/28039
y,20,Old Ale,Avery,Old Jubliation,8.3%,$39.99,3,$119.97,Big Top,,http://beeradvocate.com/beer/profile/30/3295
y,21,Old Ale,North Coast,Old Stock Ale,11.7%,$74.99,3,$224.97,Big Top,,http://beeradvocate.com/beer/profile/112/1867
y,22,Triple,Corsendonk,Angus,7.5%,$75.95,3,$227.85,Bella Vista,,http://beeradvocate.com/beer/profile/41/139
y,23,Belgian Strong Dark Ale,Fegleys' Brew Works,Rude Elf's Reserve,10.5%,$53.99,3,$161.97,Big Top,,http://beeradvocate.com/beer/profile/16096/47814
y,24,Quadrupal,Bierbrouwerij De Koningshoeven B.V.,La Trappe Quadrupel,10%,$106.99,3,$320.97,Big Top,,http://beeradvocate.com/beer/profile/184/1402
